name;jaltimpact-runtime;jaltimpact-result;afaminisat-runtime;afaminisat-result;afaminisat-nt-runtime;afaminisat-nt-result;bisim-runtime;bisim-result;abc-runtime;abc-result
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N10;1.27; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;0.37; NOT EMPTY;0.11; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N100;1.33; NOT EMPTY;0.01; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.09; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N1000;1.95; NOT EMPTY;0.01; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.14; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N110;1.38; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.11; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N120;1.4; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.06; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N130;1.5; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.07; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N140;1.49; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.1; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N150;1.31; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.1; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N160;1.37; NOT EMPTY;0.0; NOT EMPTY;0.01; NOT EMPTY;TO;TO;0.07; NOT EMPTY
/home1/debian/bench/ltl_afa/created_ltl/LTLf-specific/AlternatePrecedence/N170;1.47; NOT EMPTY;0.0; NOT EMPTY;0.0; NOT EMPTY;TO;TO;0.09; NOT EMPTY
